event_year,group,mean,ci_lower,ci_upper
-3.0,High numeric guidance,9.55585464333782,7.440519835154638,11.671189451521002
-3.0,No guidance,7.176957352005092,6.538737036550613,7.815177667459572
-2.0,High numeric guidance,7.712082262210797,5.836207621873312,9.587956902548282
-2.0,No guidance,7.578696106221095,6.945064033827655,8.212328178614534
-1.0,High numeric guidance,9.987819732034104,7.935546723085922,12.040092740982287
-1.0,No guidance,7.066795740561472,6.4760730572408995,7.657518423882044
0.0,High numeric guidance,8.49056603773585,6.613344091686429,10.36778798378527
0.0,No guidance,5.686653771760155,5.1711781352054125,6.202129408314898
1.0,High numeric guidance,13.447432762836186,11.108031549374196,15.786833976298176
1.0,No guidance,7.746761052490984,7.1411663720935925,8.352355732888377
2.0,High numeric guidance,19.07810499359795,16.320643798382495,21.835566188813406
2.0,No guidance,12.442137747229625,11.67589336547706,13.208382128982189
3.0,High numeric guidance,19.891008174386922,17.001172719505718,22.780843629268126
3.0,No guidance,13.66542750929368,12.844421753656237,14.486433264931124
